municipality,year,subsidios_de_agua_potable_sap_otorgados_por_la_comuna_a_zonas_rurales
TEMUCO,2018,83
CARAHUE,2018,759
CUNCO,2018,407
CURARREHUE,2018,0
FREIRE,2018,188
GALVARINO,2018,116
GORBEA,2018,0
LAUTARO,2018,51
LONCOCHE,2018,334
MELIPEUCO,2018,164
NUEVA IMPERIAL,2018,351
PADRE LAS CASAS,2018,121
PERQUENCO,2018,440
PITRUFQUÉN,2018,87
PUCÓN,2018,190
SAAVEDRA,2018,118
TEODORO SCHMIDT,2018,280
TOLTÉN,2018,206
VILCÚN,2018,113
VILLARRICA,2018,72
CHOLCHOL,2018,31
ANGOL,2018,174
COLLIPULLI,2018,109
CURACAUTÍN,2018,102
ERCILLA,2018,72
LONQUIMAY,2018,26
LOS SAUCES,2018,70
LUMACO,2018,95
PURÉN,2018,119
RENAICO,2018,369
TRAIGUÉN,2018,31
VICTORIA,2018,172
TEMUCO,2017,27
CARAHUE,2017,743
CUNCO,2017,398
CURARREHUE,2017,84
FREIRE,2017,410
GALVARINO,2017,0
GORBEA,2017,0
LAUTARO,2017,72
LONCOCHE,2017,395
MELIPEUCO,2017,217
NUEVA IMPERIAL,2017,333
PADRE LAS CASAS,2017,91
PERQUENCO,2017,440
PITRUFQUÉN,2017,0
PUCÓN,2017,206
SAAVEDRA,2017,118
TEODORO SCHMIDT,2017,271
TOLTÉN,2017,512
VILCÚN,2017,137
VILLARRICA,2017,50
CHOLCHOL,2017,12
ANGOL,2017,130
COLLIPULLI,2017,57
CURACAUTÍN,2017,96
LONQUIMAY,2017,19
LOS SAUCES,2017,16
PURÉN,2017,304
RENAICO,2017,391
TRAIGUÉN,2017,17
VICTORIA,2017,129
TEMUCO,2016,49
CARAHUE,2016,170
CUNCO,2016,393
CURARREHUE,2016,130
FREIRE,2016,422
GORBEA,2016,0
LAUTARO,2016,70
LONCOCHE,2016,323
MELIPEUCO,2016,548
NUEVA IMPERIAL,2016,0
PADRE LAS CASAS,2016,118
PERQUENCO,2016,382
PITRUFQUÉN,2016,254
PUCÓN,2016,82
TEODORO SCHMIDT,2016,274
TOLTÉN,2016,137
VILCÚN,2016,128
VILLARRICA,2016,35
CHOLCHOL,2016,41
ANGOL,2016,133
COLLIPULLI,2016,96
CURACAUTÍN,2016,42
ERCILLA,2016,273
LONQUIMAY,2016,21
LOS SAUCES,2016,75
LUMACO,2016,1
PURÉN,2016,119
RENAICO,2016,863
TRAIGUÉN,2016,3
VICTORIA,2016,0
TEMUCO,2015,54
CARAHUE,2015,751
CUNCO,2015,424
CURARREHUE,2015,164
FREIRE,2015,390
GALVARINO,2015,10
GORBEA,2015,0
LAUTARO,2015,49
LONCOCHE,2015,359
MELIPEUCO,2015,570
NUEVA IMPERIAL,2015,388
PADRE LAS CASAS,2015,132
PERQUENCO,2015,470
PITRUFQUÉN,2015,317
PUCÓN,2015,80
SAAVEDRA,2015,117
TEODORO SCHMIDT,2015,292
TOLTÉN,2015,169
VILCÚN,2015,91
VILLARRICA,2015,45
CHOLCHOL,2015,64
ANGOL,2015,127
COLLIPULLI,2015,85
CURACAUTÍN,2015,244
ERCILLA,2015,650
LONQUIMAY,2015,34
LOS SAUCES,2015,20
LUMACO,2015,33
PURÉN,2015,130
RENAICO,2015,421
TRAIGUÉN,2015,6
VICTORIA,2015,141
TEMUCO,2014,23
CARAHUE,2014,847
CUNCO,2014,425
CURARREHUE,2014,148
FREIRE,2014,501
GALVARINO,2014,21
GORBEA,2014,0
LAUTARO,2014,79
LONCOCHE,2014,359
MELIPEUCO,2014,570
NUEVA IMPERIAL,2014,359
PADRE LAS CASAS,2014,96
PERQUENCO,2014,470
PITRUFQUÉN,2014,317
PUCÓN,2014,213
SAAVEDRA,2014,6
TEODORO SCHMIDT,2014,283
TOLTÉN,2014,296
VILCÚN,2014,283
VILLARRICA,2014,88
CHOLCHOL,2014,454
ANGOL,2014,129
COLLIPULLI,2014,27
CURACAUTÍN,2014,80
ERCILLA,2014,299
LONQUIMAY,2014,34
LOS SAUCES,2014,20
LUMACO,2014,1
PURÉN,2014,112
RENAICO,2014,155
TRAIGUÉN,2014,17
VICTORIA,2014,145
TEMUCO,2013,25
CUNCO,2013,405
CURARREHUE,2013,148
FREIRE,2013,534
GALVARINO,2013,80
GORBEA,2013,0
LAUTARO,2013,58
LONCOCHE,2013,359
MELIPEUCO,2013,140
NUEVA IMPERIAL,2013,388
PADRE LAS CASAS,2013,97
PERQUENCO,2013,470
PITRUFQUÉN,2013,317
PUCÓN,2013,65
SAAVEDRA,2013,2
TEODORO SCHMIDT,2013,310
TOLTÉN,2013,98
VILCÚN,2013,104
VILLARRICA,2013,44
CHOLCHOL,2013,174
ANGOL,2013,1534
COLLIPULLI,2013,83
CURACAUTÍN,2013,202
ERCILLA,2013,299
LONQUIMAY,2013,30
LOS SAUCES,2013,70
LUMACO,2013,12
PURÉN,2013,299
RENAICO,2013,419
TRAIGUÉN,2013,8
VICTORIA,2013,175
TEMUCO,2012,56
CARAHUE,2012,799
CUNCO,2012,435
CURARREHUE,2012,1741
FREIRE,2012,598
GALVARINO,2012,7
GORBEA,2012,0
LAUTARO,2012,182
LONCOCHE,2012,343
NUEVA IMPERIAL,2012,373
PADRE LAS CASAS,2012,286
PERQUENCO,2012,432
PITRUFQUÉN,2012,310
SAAVEDRA,2012,12
TEODORO SCHMIDT,2012,293
TOLTÉN,2012,497
VILCÚN,2012,235
VILLARRICA,2012,57
ANGOL,2012,157
COLLIPULLI,2012,87
CURACAUTÍN,2012,235
LONQUIMAY,2012,28
LOS SAUCES,2012,671
LUMACO,2012,36
PURÉN,2012,299
RENAICO,2012,94
TRAIGUÉN,2012,30
VICTORIA,2012,112
TEMUCO,2011,38
CARAHUE,2011,180
CUNCO,2011,443
CURARREHUE,2011,67
FREIRE,2011,652
GALVARINO,2011,86
GORBEA,2011,0
LAUTARO,2011,182
LONCOCHE,2011,359
MELIPEUCO,2011,516
NUEVA IMPERIAL,2011,362
PADRE LAS CASAS,2011,0
PERQUENCO,2011,42
PITRUFQUÉN,2011,298
PUCÓN,2011,234
SAAVEDRA,2011,3
TEODORO SCHMIDT,2011,283
TOLTÉN,2011,567
VILCÚN,2011,235
VILLARRICA,2011,1212
CHOLCHOL,2011,182
ANGOL,2011,145
COLLIPULLI,2011,46
CURACAUTÍN,2011,232
ERCILLA,2011,115
LONQUIMAY,2011,30
LOS SAUCES,2011,69
PURÉN,2011,289
TRAIGUÉN,2011,17
VICTORIA,2011,164
TEMUCO,2010,47
CARAHUE,2010,1583
CUNCO,2010,428
CURARREHUE,2010,183
FREIRE,2010,649
GALVARINO,2010,57
GORBEA,2010,0
LAUTARO,2010,184
LONCOCHE,2010,351
NUEVA IMPERIAL,2010,345
PADRE LAS CASAS,2010,3
PERQUENCO,2010,19
PITRUFQUÉN,2010,285
PUCÓN,2010,96
SAAVEDRA,2010,129
TEODORO SCHMIDT,2010,778
TOLTÉN,2010,531
VILCÚN,2010,3036
VILLARRICA,2010,45
CHOLCHOL,2010,168
ANGOL,2010,36
COLLIPULLI,2010,84
CURACAUTÍN,2010,210
ERCILLA,2010,58
LONQUIMAY,2010,14
LOS SAUCES,2010,40
LUMACO,2010,183
PURÉN,2010,282
RENAICO,2010,427
TRAIGUÉN,2010,5
VICTORIA,2010,137
TEMUCO,2009,2267
CUNCO,2009,473
CURARREHUE,2009,194
FREIRE,2009,652
GALVARINO,2009,79
GORBEA,2009,0
LAUTARO,2009,211
LONCOCHE,2009,379
NUEVA IMPERIAL,2009,506
PADRE LAS CASAS,2009,828
PERQUENCO,2009,432
PITRUFQUÉN,2009,277
PUCÓN,2009,84
SAAVEDRA,2009,254
TOLTÉN,2009,527
VILCÚN,2009,535
VILLARRICA,2009,278
CHOLCHOL,2009,47
ANGOL,2009,45
COLLIPULLI,2009,53
CURACAUTÍN,2009,250
LONQUIMAY,2009,18
LOS SAUCES,2009,12
LUMACO,2009,54
PURÉN,2009,285
TRAIGUÉN,2009,1
VICTORIA,2009,120
TEMUCO,2008,19
CUNCO,2008,46
CURARREHUE,2008,163
FREIRE,2008,561
GALVARINO,2008,44
GORBEA,2008,0
LAUTARO,2008,211
LONCOCHE,2008,385
NUEVA IMPERIAL,2008,506
PADRE LAS CASAS,2008,66
PERQUENCO,2008,432
PITRUFQUÉN,2008,245
SAAVEDRA,2008,131
TEODORO SCHMIDT,2008,199
TOLTÉN,2008,153
VILCÚN,2008,243
VILLARRICA,2008,51
CHOLCHOL,2008,179
ANGOL,2008,70
COLLIPULLI,2008,148
CURACAUTÍN,2008,298
ERCILLA,2008,230
LONQUIMAY,2008,15
LOS SAUCES,2008,15
LUMACO,2008,59
PURÉN,2008,284
RENAICO,2008,138
TRAIGUÉN,2008,25
VICTORIA,2008,153
TEMUCO,2007,50
CARAHUE,2007,820
CUNCO,2007,439
CURARREHUE,2007,219
FREIRE,2007,639
GALVARINO,2007,78
GORBEA,2007,0
LAUTARO,2007,139
LONCOCHE,2007,279
MELIPEUCO,2007,179
NUEVA IMPERIAL,2007,450
PADRE LAS CASAS,2007,60
PERQUENCO,2007,432
PITRUFQUÉN,2007,242
PUCÓN,2007,218
SAAVEDRA,2007,32
TEODORO SCHMIDT,2007,333
TOLTÉN,2007,52
VILCÚN,2007,243
VILLARRICA,2007,45
CHOLCHOL,2007,23
ANGOL,2007,35
COLLIPULLI,2007,163
CURACAUTÍN,2007,240
ERCILLA,2007,276
LONQUIMAY,2007,12
LOS SAUCES,2007,63
LUMACO,2007,14
PURÉN,2007,275
RENAICO,2007,390
TRAIGUÉN,2007,32
VICTORIA,2007,355
TEMUCO,2006,184
CARAHUE,2006,776
CUNCO,2006,148
CURARREHUE,2006,0
FREIRE,2006,639
GALVARINO,2006,78
GORBEA,2006,0
LAUTARO,2006,187
LONCOCHE,2006,49
MELIPEUCO,2006,127
NUEVA IMPERIAL,2006,446
PADRE LAS CASAS,2006,27
PERQUENCO,2006,405
PITRUFQUÉN,2006,246
PUCÓN,2006,0
SAAVEDRA,2006,20
TEODORO SCHMIDT,2006,763
TOLTÉN,2006,174
VILCÚN,2006,77
VILLARRICA,2006,137
ANGOL,2006,62
COLLIPULLI,2006,76
CURACAUTÍN,2006,1283
ERCILLA,2006,95
LONQUIMAY,2006,0
LOS SAUCES,2006,10
PURÉN,2006,74
RENAICO,2006,371
TRAIGUÉN,2006,5
VICTORIA,2006,129
TEMUCO,2005,40
CARAHUE,2005,143
CUNCO,2005,398
CURARREHUE,2005,155
FREIRE,2005,618
GALVARINO,2005,61
GORBEA,2005,0
LAUTARO,2005,364
LONCOCHE,2005,299
MELIPEUCO,2005,213
NUEVA IMPERIAL,2005,115
PADRE LAS CASAS,2005,64
PERQUENCO,2005,405
PITRUFQUÉN,2005,210
PUCÓN,2005,141
SAAVEDRA,2005,122
TEODORO SCHMIDT,2005,736
TOLTÉN,2005,461
VILCÚN,2005,22
VILLARRICA,2005,116
CHOLCHOL,2005,142
ANGOL,2005,96
COLLIPULLI,2005,43
CURACAUTÍN,2005,240
ERCILLA,2005,229
LONQUIMAY,2005,59
LOS SAUCES,2005,16
LUMACO,2005,43
PURÉN,2005,236
RENAICO,2005,142
TRAIGUÉN,2005,24
VICTORIA,2005,298
TEMUCO,2003,37
CARAHUE,2003,690
CUNCO,2003,337
CURARREHUE,2003,13
FREIRE,2003,578
LAUTARO,2003,359
LONCOCHE,2003,298
MELIPEUCO,2003,210
NUEVA IMPERIAL,2003,51
PADRE LAS CASAS,2003,684
PERQUENCO,2003,405
PITRUFQUÉN,2003,190
PUCÓN,2003,125
SAAVEDRA,2003,25
TEODORO SCHMIDT,2003,254
TOLTÉN,2003,168
VILLARRICA,2003,26
ANGOL,2003,94
COLLIPULLI,2003,19
CURACAUTÍN,2003,281
ERCILLA,2003,221
LONQUIMAY,2003,4
LOS SAUCES,2003,60
PURÉN,2003,228
RENAICO,2003,355
TRAIGUÉN,2003,35
VICTORIA,2003,310
TEMUCO,2002,163
CARAHUE,2002,515
CUNCO,2002,400
CURARREHUE,2002,0
GALVARINO,2002,40
LAUTARO,2002,336
LONCOCHE,2002,275
MELIPEUCO,2002,380
NUEVA IMPERIAL,2002,248
PADRE LAS CASAS,2002,331
PERQUENCO,2002,130
PITRUFQUÉN,2002,186
PUCÓN,2002,100
TEODORO SCHMIDT,2002,552
TOLTÉN,2002,539
VILCÚN,2002,210
VILLARRICA,2002,70
ANGOL,2002,72
COLLIPULLI,2002,98
CURACAUTÍN,2002,229
ERCILLA,2002,210
LONQUIMAY,2002,97
LOS SAUCES,2002,90
LUMACO,2002,72
PURÉN,2002,168
RENAICO,2002,328
TRAIGUÉN,2002,38
VICTORIA,2002,296
TEMUCO,2001,136
CARAHUE,2001,450
CUNCO,2001,350
CURARREHUE,2001,58
FREIRE,2001,432
GORBEA,2001,0
LAUTARO,2001,301
MELIPEUCO,2001,259
NUEVA IMPERIAL,2001,188
PADRE LAS CASAS,2001,1942
PERQUENCO,2001,125
PITRUFQUÉN,2001,140
PUCÓN,2001,100
SAAVEDRA,2001,154
TEODORO SCHMIDT,2001,520
TOLTÉN,2001,5531
VILCÚN,2001,160
VILLARRICA,2001,74
ANGOL,2001,16
COLLIPULLI,2001,105
CURACAUTÍN,2001,94
ERCILLA,2001,210
LOS SAUCES,2001,55
LUMACO,2001,31
PURÉN,2001,168
RENAICO,2001,283
VICTORIA,2001,248
