comuna,year,desertores_anterior,matricula,tasa_incidencia,percent_incidencia,,
IQUIQUE,2015,1,147,35,81,3.3%,
ALTO HOSPICIO,2015,612,21,164,2.9%,,
POZO ALMONTE,2015,78,2,666,2.9%,,
CAMI�A,2015,6,216,2.8%,,,
COLCHANE,2015,9,127,7.1%,,,
HUARA,2015,7,383,1.8%,,,
PICA,2015,24,825,2.9%,,,
ANTOFAGASTA,2015,2,41,64,617,3.2%,
MEJILLONES,2015,69,1,891,3.6%,,
SIERRA GORDA,2015,3,161,1.9%,,,
TALTAL,2015,74,2,465,3.0%,,
CALAMA,2015,949,32,344,2.9%,,
OLLAG�E,2015,0,23,0.0%,,,
SAN PEDRO DE ATACAMA,2015,22,1,170,1.9%,,
TOCOPILLA,2015,146,4,886,3.0%,,
MARIA ELENA,2015,34,916,3.7%,,,
COPIAPO,2015,1,32,28,785,3.6%,
CALDERA,2015,90,3,142,2.9%,,
TIERRA AMARILLA,2015,95,2,263,4.2%,,
CHA�ARAL,2015,68,2,478,2.7%,,
DIEGO DE ALMAGRO,2015,77,2,830,2.7%,,
VALLENAR,2015,181,10,64,1.8%,,
ALTO DEL CARMEN,2015,17,741,2.3%,,,
FREIRINA,2015,34,1,48,3.2%,,
HUASCO,2015,53,1,653,3.2%,,
LA SERENA,2015,1,318,44,310,3.0%,
COQUIMBO,2015,1,10,33,935,3.0%,
ANDACOLLO,2015,40,1,735,2.3%,,
LA HIGUERA,2015,10,510,2.0%,,,
PAIGUANO,2015,30,632,4.7%,,,
VICU�A,2015,128,4,462,2.9%,,
ILLAPEL,2015,129,5,904,2.2%,,
CANELA,2015,23,1,228,1.9%,,
LOS VILOS,2015,98,3,415,2.9%,,
SALAMANCA,2015,96,4,625,2.1%,,
OVALLE,2015,529,21,72,2.5%,,
COMBARBALA,2015,35,1,933,1.8%,,
MONTE PATRIA,2015,124,4,941,2.5%,,
PUNITAQUI,2015,43,1,776,2.4%,,
RIO HURTADO,2015,11,624,1.8%,,,
VALPARAISO,2015,1,401,45,722,3.1%,
CASABLANCA,2015,119,4,253,2.8%,,
CONCON,2015,192,6,505,3.0%,,
JUAN FERNANDEZ,2015,2,139,1.4%,,,
PUCHUNCAVI,2015,83,2,224,3.7%,,
QUINTERO,2015,116,4,453,2.6%,,
VI�A DEL MAR,2015,1,551,49,158,3.2%,
ISLA DE PASCUA,2015,32,1,179,2.7%,,
LOS ANDES,2015,313,14,350,2.2%,,
CALLE LARGA,2015,72,2,10,3.6%,,
RINCONADA,2015,18,1,89,1.7%,,
SAN ESTEBAN,2015,44,1,320,3.3%,,
LA LIGUA,2015,119,5,854,2.0%,,
CABILDO,2015,92,3,947,2.3%,,
PAPUDO,2015,22,690,3.2%,,,
PETORCA,2015,8,1,470,0.5%,,
ZAPALLAR,2015,40,1,252,3.2%,,
QUILLOTA,2015,574,17,118,3.4%,,
CALERA,2015,245,10,184,2.4%,,
HIJUELAS,2015,53,2,295,2.3%,,
LA CRUZ,2015,51,1,450,3.5%,,
NOGALES,2015,102,3,640,2.8%,,
SAN ANTONIO,2015,387,15,804,2.4%,,
ALGARROBO,2015,64,2,14,3.2%,,
CARTAGENA,2015,107,3,477,3.1%,,
EL QUISCO,2015,46,1,761,2.6%,,
EL TABO,2015,31,709,4.4%,,,
SANTO DOMINGO,2015,34,1,924,1.8%,,
SAN FELIPE,2015,387,15,568,2.5%,,
CATEMU,2015,58,2,16,2.9%,,
LLAILLAY,2015,89,4,142,2.1%,,
PANQUEHUE,2015,29,1,74,2.7%,,
PUTAENDO,2015,60,1,906,3.1%,,
SANTA MARIA,2015,50,2,97,2.4%,,
QUILPUE,2015,1,12,27,424,3.7%,
LIMACHE,2015,218,7,267,3.0%,,
OLMUE,2015,75,2,116,3.5%,,
VILLA ALEMANA,2015,558,18,935,2.9%,,
RANCAGUA,2015,1,306,46,854,2.8%,
CODEGUA,2015,54,1,430,3.8%,,
COINCO,2015,29,810,3.6%,,,
COLTAUCO,2015,73,2,934,2.5%,,
DO�IHUE,2015,71,3,184,2.2%,,
GRANEROS,2015,216,6,993,3.1%,,
LAS CABRAS,2015,67,3,939,1.7%,,
MACHALI,2015,192,9,253,2.1%,,
MALLOA,2015,43,1,314,3.3%,,
MOSTAZAL,2015,95,3,161,3.0%,,
OLIVAR,2015,53,1,987,2.7%,,
PEUMO,2015,73,2,3,3.6%,,
PICHIDEGUA,2015,53,2,223,2.4%,,
QUINTA DE TILCOCO,2015,53,2,68,2.6%,,
RENGO,2015,253,10,365,2.4%,,
REQUINOA,2015,110,3,820,2.9%,,
SAN VICENTE,2015,229,8,947,2.6%,,
PICHILEMU,2015,88,2,391,3.7%,,
LA ESTRELLA,2015,2,229,0.9%,,,
LITUECHE,2015,21,943,2.2%,,,
MARCHIHUE,2015,27,781,3.5%,,,
NAVIDAD,2015,28,741,3.8%,,,
PAREDONES,2015,8,703,1.1%,,,
SAN FERNANDO,2015,474,16,43,3.0%,,
CHEPICA,2015,33,1,735,1.9%,,
CHIMBARONGO,2015,126,5,723,2.2%,,
LOLOL,2015,8,937,0.9%,,,
NANCAGUA,2015,54,2,555,2.1%,,
PALMILLA,2015,28,1,154,2.4%,,
PERALILLO,2015,22,1,488,1.5%,,
PLACILLA,2015,6,778,0.8%,,,
PUMANQUE,2015,0,222,0.0%,,,
SANTA CRUZ,2015,126,8,984,1.4%,,
TALCA,2015,1,60,45,493,2.3%,
CONSTITUCION,2015,282,8,622,3.3%,,
CUREPTO,2015,8,1,189,0.7%,,
EMPEDRADO,2015,22,640,3.4%,,,
MAULE,2015,91,3,700,2.5%,,
PELARCO,2015,16,975,1.6%,,,
PENCAHUE,2015,16,895,1.8%,,,
RIO CLARO,2015,27,1,521,1.8%,,
SAN CLEMENTE,2015,115,5,222,2.2%,,
SAN RAFAEL,2015,10,1,82,0.9%,,
CAUQUENES,2015,157,7,345,2.1%,,
CHANCO,2015,21,1,224,1.7%,,
PELLUHUE,2015,20,1,123,1.8%,,
CURICO,2015,674,29,44,2.3%,,
HUALA�E,2015,30,1,602,1.9%,,
LICANTEN,2015,25,1,34,2.4%,,
MOLINA,2015,254,7,93,3.6%,,
RAUCO,2015,19,1,29,1.8%,,
ROMERAL,2015,43,2,1,2.1%,,
SAGRADA FAMILIA,2015,31,2,16,1.5%,,
TENO,2015,85,4,413,1.9%,,
VICHUQUEN,2015,17,589,2.9%,,,
LINARES,2015,545,19,322,2.8%,,
COLBUN,2015,116,2,954,3.9%,,
LONGAVI,2015,116,3,897,3.0%,,
PARRAL,2015,220,7,151,3.1%,,
RETIRO,2015,123,3,229,3.8%,,
SAN JAVIER,2015,169,8,510,2.0%,,
VILLA ALEGRE,2015,70,1,997,3.5%,,
YERBAS BUENAS,2015,69,1,854,3.7%,,
CONCEPCION,2015,1,250,41,515,3.0%,
CORONEL,2015,475,19,843,2.4%,,
CHIGUAYANTE,2015,401,13,982,2.9%,,
FLORIDA,2015,36,1,510,2.4%,,
HUALQUI,2015,65,3,229,2.0%,,
LOTA,2015,255,8,348,3.1%,,
PENCO,2015,124,5,610,2.2%,,
SAN PEDRO DE LA PAZ,2015,356,20,499,1.7%,,
SANTA JUANA,2015,68,2,252,3.0%,,
TALCAHUANO,2015,624,22,705,2.7%,,
TOME,2015,139,8,684,1.6%,,
HUALPEN,2015,234,12,243,1.9%,,
LEBU,2015,133,4,812,2.8%,,
ARAUCO,2015,164,6,501,2.5%,,
CA�ETE,2015,267,7,341,3.6%,,
CONTULMO,2015,47,1,114,4.2%,,
CURANILAHUE,2015,172,6,180,2.8%,,
LOS ALAMOS,2015,151,3,873,3.9%,,
TIRUA,2015,49,1,906,2.6%,,
LOS ANGELES,2015,983,39,22,2.5%,,
ANTUCO,2015,23,651,3.5%,,,
CABRERO,2015,109,4,960,2.2%,,
LAJA,2015,95,4,638,2.0%,,
MULCHEN,2015,176,5,68,3.5%,,
NACIMIENTO,2015,94,5,212,1.8%,,
NEGRETE,2015,43,1,453,3.0%,,
QUILACO,2015,6,390,1.5%,,,
QUILLECO,2015,37,1,356,2.7%,,
SAN ROSENDO,2015,17,363,4.7%,,,
SANTA BARBARA,2015,85,2,531,3.4%,,
TUCAPEL,2015,48,2,39,2.4%,,
YUMBEL,2015,64,3,311,1.9%,,
ALTO BIOBIO,2015,38,1,102,3.4%,,
CHILLAN,2015,748,35,598,2.1%,,
BULNES,2015,96,3,895,2.5%,,
COBQUECURA,2015,16,638,2.5%,,,
COELEMU,2015,63,2,719,2.3%,,
COIHUECO,2015,88,3,818,2.3%,,
CHILLAN VIEJO,2015,142,4,269,3.3%,,
EL CARMEN,2015,45,2,203,2.0%,,
NINHUE,2015,21,822,2.6%,,,
�IQUEN,2015,30,1,402,2.1%,,
PEMUCO,2015,30,1,261,2.4%,,
PINTO,2015,50,1,750,2.9%,,
PORTEZUELO,2015,17,768,2.2%,,,
QUILLON,2015,57,2,62,2.8%,,
QUIRIHUE,2015,27,1,795,1.5%,,
RANQUIL,2015,16,869,1.8%,,,
SAN CARLOS,2015,190,9,10,2.1%,,
SAN FABIAN,2015,25,705,3.5%,,,
SAN IGNACIO,2015,65,2,246,2.9%,,
SAN NICOLAS,2015,49,2,309,2.1%,,
TREGUACO,2015,7,718,1.0%,,,
YUNGAY,2015,58,3,94,1.9%,,
TEMUCO,2015,1,545,53,337,0.03,2.896675854
CARAHUE,2015,150,4,616,0.03,3.249566724,
CUNCO,2015,74,2,933,0.03,2.523013979,
CURARREHUE,2015,55,1,90,0.05,5.04587156,
FREIRE,2015,116,3,595,0.03,3.226703755,
GALVARINO,2015,72,2,374,0.03,3.032855939,
GORBEA,2015,39,1,694,0.02,2.302243211,
LAUTARO,2015,148,6,371,0.02,2.323026213,
LONCOCHE,2015,114,3,786,0.03,3.011093502,
MELIPEUCO,2015,11,880,0.01,1.25,,
NUEVA IMPERIAL,2015,294,6,849,0.04,4.292597459,
PADRE LAS CASAS,2015,266,10,507,0.03,2.53164557,
PERQUENCO,2015,69,1,363,0.05,5.062362436,
PITRUFQUEN,2015,115,5,623,0.02,2.045171617,
PUCON,2015,110,4,767,0.02,2.307530942,
SAAVEDRA,2015,73,1,933,0.04,3.776513192,
TEODORO SCHMIDT,2015,32,1,900,0.02,1.684210526,
TOLTEN,2015,29,1,671,0.02,1.735487732,
VILCUN,2015,185,4,970,0.04,3.722334004,
VILLARRICA,2015,284,11,526,0.02,2.463994447,
CHOLCHOL,2015,78,2,298,0.03,3.394255875,
ANGOL,2015,341,10,893,0.03,3.130450748,
COLLIPULLI,2015,119,4,699,0.03,2.532453714,
CURACAUTIN,2015,98,2,937,0.03,3.336738168,
ERCILLA,2015,46,1,272,0.04,3.616352201,
LONQUIMAY,2015,54,1,740,0.03,3.103448276,
LOS SAUCES,2015,30,1,239,0.02,2.421307506,
LUMACO,2015,32,1,417,0.02,2.258292167,
PUREN,2015,33,1,969,0.02,1.675977654,
RENAICO,2015,50,1,561,0.03,3.203074952,
TRAIGUEN,2015,123,3,574,0.03,3.441522104,
VICTORIA,2015,179,6,80,0.03,2.944078947,
PUERTO MONTT,2015,1,709,46,108,3.7%,
CALBUCO,2015,189,6,18,3.1%,,
COCHAMO,2015,16,519,3.1%,,,
FRESIA,2015,70,2,191,3.2%,,
FRUTILLAR,2015,131,3,550,3.7%,,
LOS MUERMOS,2015,134,3,307,4.1%,,
LLANQUIHUE,2015,106,2,528,4.2%,,
MAULLIN,2015,48,1,996,2.4%,,
PUERTO VARAS,2015,587,8,307,7.1%,,
CASTRO,2015,213,9,642,2.2%,,
ANCUD,2015,403,8,11,5.0%,,
CHONCHI,2015,116,2,962,3.9%,,
CURACO DE VELEZ,2015,23,682,3.4%,,,
DALCAHUE,2015,59,2,218,2.7%,,
PUQUELDON,2015,1,431,0.2%,,,
QUEILEN,2015,14,855,1.6%,,,
QUELLON,2015,154,5,359,2.9%,,
QUEMCHI,2015,32,1,245,2.6%,,
QUINCHAO,2015,60,1,963,3.1%,,
OSORNO,2015,939,30,12,3.1%,,
PUERTO OCTAY,2015,73,1,419,5.1%,,
PURRANQUE,2015,145,3,575,4.1%,,
PUYEHUE,2015,77,1,944,4.0%,,
RIO NEGRO,2015,67,2,126,3.2%,,
SAN JUAN DE LA COSTA,2015,41,1,222,3.4%,,
SAN PABLO,2015,47,1,529,3.1%,,
CHAITEN,2015,16,682,2.3%,,,
FUTALEUFU,2015,7,417,1.7%,,,
HUALAIHUE,2015,30,1,759,1.7%,,
PALENA,2015,6,298,2.0%,,,
COIHAIQUE,2015,398,11,441,3.5%,,
LAGO VERDE,2015,2,106,1.9%,,,
AISEN,2015,195,4,545,4.3%,,
CISNES,2015,28,929,3.0%,,,
GUAITECAS,2015,7,249,2.8%,,,
COCHRANE,2015,30,633,4.7%,,,
O'HIGGINS,2015,1,82,1.2%,,,
TORTEL,2015,0,76,0.0%,,,
CHILE CHICO,2015,41,839,4.9%,,,
RIO IBA�EZ,2015,8,310,2.6%,,,
PUNTA ARENAS,2015,476,21,440,2.2%,,
LAGUNA BLANCA,2015,0,35,0.0%,,,
RIO VERDE,2015,0,5,0.0%,,,
SAN GREGORIO,2015,0,34,0.0%,,,
CABO DE HORNOS,2015,18,388,4.6%,,,
ANTARTICA,2015,0,6,0.0%,,,
PORVENIR,2015,27,938,2.9%,,,
PRIMAVERA,2015,0,57,0.0%,,,
TIMAUKEL,2015,0,10,0.0%,,,
NATALES,2015,86,3,560,2.4%,,
TORRES DEL PAINE,2015,0,33,0.0%,,,
SANTIAGO,2015,2,872,76,372,3.8%,
CERRILLOS,2015,329,11,170,2.9%,,
CERRO NAVIA,2015,549,13,911,3.9%,,
CONCHALI,2015,530,16,544,3.2%,,
EL BOSQUE,2015,801,30,463,2.6%,,
ESTACION CENTRAL,2015,660,19,536,3.4%,,
HUECHURABA,2015,328,11,583,2.8%,,
INDEPENDENCIA,2015,826,16,629,5.0%,,
LA CISTERNA,2015,1,109,25,706,4.3%,
LA FLORIDA,2015,1,771,67,95,2.6%,
LA GRANJA,2015,433,15,918,2.7%,,
LA PINTANA,2015,1,20,30,409,3.4%,
LA REINA,2015,376,18,568,2.0%,,
LAS CONDES,2015,987,35,630,2.8%,,
LO BARNECHEA,2015,463,18,801,2.5%,,
LO ESPEJO,2015,318,9,279,3.4%,,
LO PRADO,2015,304,9,672,3.1%,,
MACUL,2015,417,12,678,3.3%,,
MAIPU,2015,2,462,87,123,2.8%,
ÑUÑOA,2015,1,393,35,437,3.9%,
PEDRO AGUIRRE CERDA,2015,334,12,184,2.7%,,
PE�ALOLEN,2015,880,31,519,2.8%,,
PROVIDENCIA,2015,659,27,759,2.4%,,
PUDAHUEL,2015,813,28,57,2.9%,,
QUILICURA,2015,938,35,522,2.6%,,
QUINTA NORMAL,2015,863,21,481,4.0%,,
RECOLETA,2015,1,115,27,107,4.1%,
RENCA,2015,749,21,89,3.6%,,
SAN JOAQUIN,2015,375,8,371,4.5%,,
SAN MIGUEL,2015,852,22,58,3.9%,,
SAN RAMON,2015,507,12,811,4.0%,,
VITACURA,2015,300,17,944,1.7%,,
PUENTE ALTO,2015,2,541,90,158,2.8%,
PIRQUE,2015,108,2,765,3.9%,,
SAN JOSE DE MAIPO,2015,79,2,296,3.4%,,
COLINA,2015,866,27,161,3.2%,,
LAMPA,2015,486,13,694,3.5%,,
TILTIL,2015,93,2,800,3.3%,,
SAN BERNARDO,2015,1,330,49,192,2.7%,
BUIN,2015,494,16,274,3.0%,,
CALERA DE TANGO,2015,137,4,313,3.2%,,
PAINE,2015,278,11,892,2.3%,,
MELIPILLA,2015,649,22,339,2.9%,,
ALHUE,2015,26,876,3.0%,,,
CURACAVI,2015,131,5,183,2.5%,,
MARIA PINTO,2015,46,1,532,3.0%,,
SAN PEDRO,2015,27,1,234,2.2%,,
TALAGANTE,2015,514,17,746,2.9%,,
EL MONTE,2015,121,4,175,2.9%,,
ISLA DE MAIPO,2015,125,5,181,2.4%,,
PADRE HURTADO,2015,268,9,923,2.7%,,
PE�AFLOR,2015,440,13,678,3.2%,,
VALDIVIA,2015,689,26,131,2.6%,,
CORRAL,2015,26,796,3.3%,,,
LANCO,2015,92,3,128,2.9%,,
LOS LAGOS,2015,92,3,359,2.7%,,
MAFIL,2015,33,1,179,2.8%,,
MARIQUINA,2015,90,3,998,2.3%,,
PAILLACO,2015,130,3,561,3.7%,,
PANGUIPULLI,2015,112,6,666,1.7%,,
LA UNION,2015,185,7,394,2.5%,,
FUTRONO,2015,108,3,34,3.6%,,
LAGO RANCO,2015,38,1,542,2.5%,,
RIO BUENO,2015,141,4,914,2.9%,,
ARICA,2015,1,11,40,187,2.5%,
CAMARONES,2015,13,91,14.3%,,,
PUTRE,2015,13,228,5.7%,,,
GENERAL LAGOS,2015,1,57,1.8%,,,
IQUIQUE,2013,1,106,35,310,3.1%,
ALTO HOSPICIO,2013,697,20,743,3.4%,,
POZO ALMONTE,2013,101,2,484,4.1%,,
CAMI�A,2013,9,248,3.6%,,,
COLCHANE,2013,1,134,0.7%,,,
HUARA,2013,5,417,1.2%,,,
PICA,2013,23,812,2.8%,,,
ANTOFAGASTA,2013,2,609,64,968,4.0%,
MEJILLONES,2013,58,1,778,3.3%,,
SIERRA GORDA,2013,4,157,2.5%,,,
TALTAL,2013,65,2,427,2.7%,,
CALAMA,2013,2,204,32,336,6.8%,
OLLAG�E,2013,0,28,0.0%,,,
SAN PEDRO DE ATACAMA,2013,29,1,75,2.7%,,
TOCOPILLA,2013,148,4,812,3.1%,,
MARIA ELENA,2013,17,933,1.8%,,,
COPIAPO,2013,1,175,30,21,3.9%,
CALDERA,2013,130,3,87,4.2%,,
TIERRA AMARILLA,2013,158,2,401,6.6%,,
CHA�ARAL,2013,95,2,659,3.6%,,
DIEGO DE ALMAGRO,2013,83,3,189,2.6%,,
VALLENAR,2013,272,10,395,2.6%,,
ALTO DEL CARMEN,2013,23,726,3.2%,,,
FREIRINA,2013,38,993,3.8%,,,
HUASCO,2013,73,1,611,4.5%,,
LA SERENA,2013,1,378,42,528,3.2%,
COQUIMBO,2013,1,124,33,676,3.3%,
ANDACOLLO,2013,51,1,738,2.9%,,
LA HIGUERA,2013,11,468,2.4%,,,
PAIGUANO,2013,43,695,6.2%,,,
VICU�A,2013,148,4,509,3.3%,,
ILLAPEL,2013,156,5,948,2.6%,,
CANELA,2013,22,1,238,1.8%,,
LOS VILOS,2013,106,3,415,3.1%,,
SALAMANCA,2013,130,4,625,2.8%,,
OVALLE,2013,608,21,75,2.9%,,
COMBARBALA,2013,53,2,60,2.6%,,
MONTE PATRIA,2013,155,5,153,3.0%,,
PUNITAQUI,2013,61,1,741,3.5%,,
RIO HURTADO,2013,23,676,3.4%,,,
VALPARAISO,2013,1,660,46,968,3.5%,
CASABLANCA,2013,109,4,279,2.5%,,
CONCON,2013,234,6,564,3.6%,,
JUAN FERNANDEZ,2013,6,109,5.5%,,,
PUCHUNCAVI,2013,89,2,208,4.0%,,
QUINTERO,2013,151,4,338,3.5%,,
VI�A DEL MAR,2013,1,675,50,94,3.3%,
ISLA DE PASCUA,2013,62,1,126,5.5%,,
LOS ANDES,2013,390,14,619,2.7%,,
CALLE LARGA,2013,65,2,36,3.2%,,
RINCONADA,2013,20,1,28,1.9%,,
SAN ESTEBAN,2013,54,1,425,3.8%,,
LA LIGUA,2013,141,6,93,2.3%,,
CABILDO,2013,98,3,947,2.5%,,
PAPUDO,2013,24,712,3.4%,,,
PETORCA,2013,27,1,503,1.8%,,
ZAPALLAR,2013,26,1,219,2.1%,,
QUILLOTA,2013,468,16,850,2.8%,,
CALERA,2013,289,10,278,2.8%,,
HIJUELAS,2013,95,2,347,4.0%,,
LA CRUZ,2013,50,1,484,3.4%,,
NOGALES,2013,146,3,759,3.9%,,
SAN ANTONIO,2013,469,16,136,2.9%,,
ALGARROBO,2013,85,1,982,4.3%,,
CARTAGENA,2013,160,3,224,5.0%,,
EL QUISCO,2013,43,1,505,2.9%,,
EL TABO,2013,20,661,3.0%,,,
SANTO DOMINGO,2013,36,1,782,2.0%,,
SAN FELIPE,2013,494,15,846,3.1%,,
CATEMU,2013,77,1,831,4.2%,,
LLAILLAY,2013,132,4,298,3.1%,,
PANQUEHUE,2013,26,1,86,2.4%,,
PUTAENDO,2013,61,1,940,3.1%,,
SANTA MARIA,2013,71,2,19,3.5%,,
QUILPUE,2013,1,45,28,221,3.7%,
LIMACHE,2013,328,7,383,4.4%,,
OLMUE,2013,80,2,133,3.8%,,
VILLA ALEMANA,2013,671,18,347,3.7%,,
RANCAGUA,2013,1,408,47,555,3.0%,
CODEGUA,2013,58,1,467,4.0%,,
COINCO,2013,31,892,3.5%,,,
COLTAUCO,2013,79,3,155,2.5%,,
DO�IHUE,2013,84,3,143,2.7%,,
GRANEROS,2013,200,7,48,2.8%,,
LAS CABRAS,2013,103,3,804,2.7%,,
