comuna,year,desertores_anterior,matricula,tasa_incidencia,percent_incidencia,,
SAN JUAN DE LA COSTA,2016,31,1,189,2.6%,,
SAN PABLO,2016,47,1,538,3.1%,,
CHAITEN,2016,19,708,2.7%,,,
FUTALEUFU,2016,15,409,3.7%,,,
HUALAIHUE,2016,26,1,754,1.5%,,
PALENA,2016,11,295,3.7%,,,
COIHAIQUE,2016,354,11,460,3.1%,,
LAGO VERDE,2016,0,107,0.0%,,,
AISEN,2016,152,4,519,3.4%,,
CISNES,2016,29,931,3.1%,,,
GUAITECAS,2016,1,283,0.4%,,,
COCHRANE,2016,22,642,3.4%,,,
O'HIGGINS,2016,0,84,0.0%,,,
TORTEL,2016,1,70,1.4%,,,
CHILE CHICO,2016,32,823,3.9%,,,
RIO IBA�EZ,2016,2,323,0.6%,,,
PUNTA ARENAS,2016,452,21,402,2.1%,,
LAGUNA BLANCA,2016,0,41,0.0%,,,
RIO VERDE,2016,0,6,0.0%,,,
SAN GREGORIO,2016,0,33,0.0%,,,
CABO DE HORNOS,2016,8,382,2.1%,,,
ANTARTICA,2016,0,5,0.0%,,,
PORVENIR,2016,20,927,2.2%,,,
PRIMAVERA,2016,0,51,0.0%,,,
TIMAUKEL,2016,0,10,0.0%,,,
NATALES,2016,86,3,587,2.4%,,
TORRES DEL PAINE,2016,0,28,0.0%,,,
SANTIAGO,2016,2,563,75,566,3.4%,
CERRILLOS,2016,313,10,984,2.8%,,
CERRO NAVIA,2016,390,13,482,2.9%,,
CONCHALI,2016,526,16,315,3.2%,,
EL BOSQUE,2016,848,30,267,2.8%,,
ESTACION CENTRAL,2016,594,19,298,3.1%,,
HUECHURABA,2016,234,11,723,2.0%,,
INDEPENDENCIA,2016,633,16,522,3.8%,,
LA CISTERNA,2016,929,25,7,3.7%,,
LA FLORIDA,2016,1,792,66,506,2.7%,
LA GRANJA,2016,403,15,459,2.6%,,
LA PINTANA,2016,894,29,877,3.0%,,
LA REINA,2016,403,18,633,2.2%,,
LAS CONDES,2016,963,35,660,2.7%,,
LO BARNECHEA,2016,544,18,713,2.9%,,
LO ESPEJO,2016,312,9,137,3.4%,,
LO PRADO,2016,277,9,758,2.8%,,
MACUL,2016,348,12,503,2.8%,,
MAIPU,2016,2,243,86,363,2.6%,
ÑUÑOA,2016,1,556,34,973,4.4%,
PEDRO AGUIRRE CERDA,2016,290,12,121,2.4%,,
PE�ALOLEN,2016,891,31,31,2.9%,,
PROVIDENCIA,2016,554,28,52,2.0%,,
PUDAHUEL,2016,764,27,923,2.7%,,
QUILICURA,2016,1,14,35,713,2.8%,
QUINTA NORMAL,2016,778,21,383,3.6%,,
RECOLETA,2016,962,27,195,3.5%,,
RENCA,2016,573,21,249,2.7%,,
SAN JOAQUIN,2016,266,8,314,3.2%,,
SAN MIGUEL,2016,797,21,770,3.7%,,
SAN RAMON,2016,498,12,450,4.0%,,
VITACURA,2016,477,18,376,2.6%,,
PUENTE ALTO,2016,2,520,89,401,2.8%,
PIRQUE,2016,98,2,994,3.3%,,
SAN JOSE DE MAIPO,2016,86,2,347,3.7%,,
COLINA,2016,842,28,534,3.0%,,
LAMPA,2016,417,14,291,2.9%,,
TILTIL,2016,85,2,781,3.1%,,
SAN BERNARDO,2016,1,308,49,387,2.6%,
BUIN,2016,408,16,419,2.5%,,
CALERA DE TANGO,2016,139,4,335,3.2%,,
PAINE,2016,314,12,328,2.5%,,
MELIPILLA,2016,584,22,445,2.6%,,
ALHUE,2016,14,910,1.5%,,,
CURACAVI,2016,135,5,308,2.5%,,
MARIA PINTO,2016,47,1,611,2.9%,,
SAN PEDRO,2016,28,1,225,2.3%,,
TALAGANTE,2016,520,18,86,2.9%,,
EL MONTE,2016,106,4,231,2.5%,,
ISLA DE MAIPO,2016,134,5,323,2.5%,,
PADRE HURTADO,2016,252,10,167,2.5%,,
PE�AFLOR,2016,428,13,619,3.1%,,
VALDIVIA,2016,596,26,302,2.3%,,
CORRAL,2016,19,768,2.5%,,,
LANCO,2016,84,3,73,2.7%,,
LOS LAGOS,2016,78,3,244,2.4%,,
MAFIL,2016,31,1,181,2.6%,,
MARIQUINA,2016,100,4,26,2.5%,,
PAILLACO,2016,96,3,632,2.6%,,
PANGUIPULLI,2016,120,6,713,1.8%,,
LA UNION,2016,156,7,294,2.1%,,
FUTRONO,2016,68,2,929,2.3%,,
LAGO RANCO,2016,41,1,509,2.7%,,
RIO BUENO,2016,84,4,814,1.7%,,
ARICA,2016,926,40,434,2.3%,,
CAMARONES,2016,4,92,4.3%,,,
PUTRE,2016,3,212,1.4%,,,
GENERAL LAGOS,2016,1,43,2.3%,,,
IQUIQUE,2017,970,35,185,2.8%,,
ALTO HOSPICIO,2017,567,22,186,2.6%,,
POZO ALMONTE,2017,51,2,715,1.9%,,
CAMI�A,2017,1,201,0.5%,,,
COLCHANE,2017,2,137,1.5%,,,
HUARA,2017,13,409,3.2%,,,
PICA,2017,12,956,1.3%,,,
ANTOFAGASTA,2017,2,52,65,231,3.1%,
MEJILLONES,2017,68,2,27,3.4%,,
SIERRA GORDA,2017,2,209,1.0%,,,
TALTAL,2017,42,2,372,1.8%,,
CALAMA,2017,806,32,53,2.5%,,
OLLAG�E,2017,0,31,0.0%,,,
SAN PEDRO DE ATACAMA,2017,42,1,419,3.0%,,
TOCOPILLA,2017,134,4,949,2.7%,,
MARIA ELENA,2017,13,883,1.5%,,,
COPIAPO,2017,768,30,150,2.5%,,
CALDERA,2017,77,3,215,2.4%,,
TIERRA AMARILLA,2017,100,2,384,4.2%,,
CHA�ARAL,2017,58,2,590,2.2%,,
DIEGO DE ALMAGRO,2017,47,2,962,1.6%,,
VALLENAR,2017,223,9,997,2.2%,,
ALTO DEL CARMEN,2017,12,798,1.5%,,,
FREIRINA,2017,25,1,29,2.4%,,
HUASCO,2017,40,1,666,2.4%,,
LA SERENA,2017,1,258,45,667,2.8%,
COQUIMBO,2017,921,34,899,2.6%,,
ANDACOLLO,2017,24,1,813,1.3%,,
LA HIGUERA,2017,9,540,1.7%,,,
PAIGUANO,2017,28,609,4.6%,,,
VICU�A,2017,139,4,571,3.0%,,
ILLAPEL,2017,145,5,844,2.5%,,
CANELA,2017,12,1,304,0.9%,,
LOS VILOS,2017,79,3,510,2.3%,,
SALAMANCA,2017,105,4,748,2.2%,,
OVALLE,2017,466,21,228,2.2%,,
COMBARBALA,2017,27,1,855,1.5%,,
MONTE PATRIA,2017,116,4,935,2.4%,,
PUNITAQUI,2017,38,1,763,2.2%,,
RIO HURTADO,2017,13,593,2.2%,,,
VALPARAISO,2017,1,228,44,793,2.7%,
CASABLANCA,2017,113,4,355,2.6%,,
CONCON,2017,227,6,983,3.3%,,
JUAN FERNANDEZ,2017,7,145,4.8%,,,
PUCHUNCAVI,2017,57,2,374,2.4%,,
QUINTERO,2017,129,4,792,2.7%,,
VI�A DEL MAR,2017,1,392,48,216,2.9%,
ISLA DE PASCUA,2017,21,1,288,1.6%,,
LOS ANDES,2017,275,14,101,2.0%,,
CALLE LARGA,2017,56,2,62,2.7%,,
RINCONADA,2017,16,1,169,1.4%,,
SAN ESTEBAN,2017,34,1,298,2.6%,,
LA LIGUA,2017,123,5,838,2.1%,,
CABILDO,2017,92,3,886,2.4%,,
PAPUDO,2017,18,740,2.4%,,,
PETORCA,2017,12,1,486,0.8%,,
ZAPALLAR,2017,44,1,296,3.4%,,
QUILLOTA,2017,454,17,334,2.6%,,
CALERA,2017,212,10,104,2.1%,,
HIJUELAS,2017,68,2,386,2.9%,,
LA CRUZ,2017,45,1,430,3.1%,,
NOGALES,2017,99,3,581,2.8%,,
SAN ANTONIO,2017,315,15,752,2.0%,,
ALGARROBO,2017,72,2,71,3.5%,,
CARTAGENA,2017,114,3,924,2.9%,,
EL QUISCO,2017,57,1,834,3.1%,,
EL TABO,2017,20,875,2.3%,,,
SANTO DOMINGO,2017,38,2,42,1.9%,,
SAN FELIPE,2017,349,15,733,2.2%,,
CATEMU,2017,54,2,193,2.5%,,
LLAILLAY,2017,72,4,235,1.7%,,
PANQUEHUE,2017,27,1,122,2.4%,,
PUTAENDO,2017,70,1,890,3.7%,,
SANTA MARIA,2017,41,1,975,2.1%,,
QUILPUE,2017,934,27,440,3.4%,,
LIMACHE,2017,189,7,390,2.6%,,
OLMUE,2017,67,2,92,3.2%,,
VILLA ALEMANA,2017,472,19,50,2.5%,,
RANCAGUA,2017,1,314,46,470,2.8%,
CODEGUA,2017,33,1,397,2.4%,,
COINCO,2017,17,844,2.0%,,,
COLTAUCO,2017,78,2,997,2.6%,,
DO�IHUE,2017,68,3,235,2.1%,,
GRANEROS,2017,139,7,397,1.9%,,
LAS CABRAS,2017,68,4,132,1.6%,,
MACHALI,2017,190,9,799,1.9%,,
MALLOA,2017,44,1,305,3.4%,,
MOSTAZAL,2017,61,3,186,1.9%,,
OLIVAR,2017,49,2,149,2.3%,,
PEUMO,2017,64,1,954,3.3%,,
PICHIDEGUA,2017,55,2,184,2.5%,,
QUINTA DE TILCOCO,2017,51,2,78,2.5%,,
RENGO,2017,266,10,426,2.6%,,
REQUINOA,2017,84,3,558,2.4%,,
SAN VICENTE,2017,142,9,16,1.6%,,
PICHILEMU,2017,64,2,549,2.5%,,
LA ESTRELLA,2017,0,230,0.0%,,,
LITUECHE,2017,28,916,3.1%,,,
MARCHIHUE,2017,19,758,2.5%,,,
NAVIDAD,2017,23,746,3.1%,,,
PAREDONES,2017,9,699,1.3%,,,
SAN FERNANDO,2017,366,15,968,2.3%,,
CHEPICA,2017,23,1,676,1.4%,,
CHIMBARONGO,2017,111,5,597,2.0%,,
LOLOL,2017,26,920,2.8%,,,
NANCAGUA,2017,48,2,571,1.9%,,
PALMILLA,2017,19,1,88,1.7%,,
PERALILLO,2017,32,1,481,2.2%,,
PLACILLA,2017,18,797,2.3%,,,
PUMANQUE,2017,0,245,0.0%,,,
SANTA CRUZ,2017,148,8,922,1.7%,,
TALCA,2017,988,45,186,2.2%,,
CONSTITUCION,2017,230,8,577,2.7%,,
CUREPTO,2017,15,1,164,1.3%,,
EMPEDRADO,2017,18,674,2.7%,,,
MAULE,2017,71,4,138,1.7%,,
PELARCO,2017,19,971,2.0%,,,
PENCAHUE,2017,22,855,2.6%,,,
RIO CLARO,2017,37,1,678,2.2%,,
SAN CLEMENTE,2017,110,5,523,2.0%,,
SAN RAFAEL,2017,8,1,123,0.7%,,
CAUQUENES,2017,124,7,230,1.7%,,
CHANCO,2017,32,1,158,2.8%,,
PELLUHUE,2017,10,1,202,0.8%,,
CURICO,2017,539,29,587,1.8%,,
HUALA�E,2017,37,1,605,2.3%,,
LICANTEN,2017,18,1,52,1.7%,,
MOLINA,2017,154,6,965,2.2%,,
RAUCO,2017,7,954,0.7%,,,
ROMERAL,2017,40,2,34,2.0%,,
SAGRADA FAMILIA,2017,18,2,51,0.9%,,
TENO,2017,67,4,344,1.5%,,
VICHUQUEN,2017,14,558,2.5%,,,
LINARES,2017,429,19,571,2.2%,,
COLBUN,2017,84,2,997,2.8%,,
LONGAVI,2017,78,3,794,2.1%,,
PARRAL,2017,134,7,108,1.9%,,
RETIRO,2017,74,3,196,2.3%,,
SAN JAVIER,2017,166,8,755,1.9%,,
VILLA ALEGRE,2017,44,1,969,2.2%,,
YERBAS BUENAS,2017,54,1,792,3.0%,,
CONCEPCION,2017,972,40,932,2.4%,,
CORONEL,2017,323,20,391,1.6%,,
CHIGUAYANTE,2017,334,14,246,2.3%,,
FLORIDA,2017,38,1,482,2.6%,,
HUALQUI,2017,79,3,366,2.3%,,
LOTA,2017,175,8,138,2.2%,,
PENCO,2017,93,5,740,1.6%,,
SAN PEDRO DE LA PAZ,2017,300,20,752,1.4%,,
SANTA JUANA,2017,42,2,294,1.8%,,
TALCAHUANO,2017,481,22,109,2.2%,,
TOME,2017,103,8,595,1.2%,,
HUALPEN,2017,194,11,813,1.6%,,
LEBU,2017,123,4,849,2.5%,,
ARAUCO,2017,146,6,398,2.3%,,
CA�ETE,2017,154,7,292,2.1%,,
CONTULMO,2017,23,1,133,2.0%,,
CURANILAHUE,2017,144,5,989,2.4%,,
LOS ALAMOS,2017,85,3,930,2.2%,,
TIRUA,2017,33,1,887,1.7%,,
LOS ANGELES,2017,804,39,267,2.0%,,
ANTUCO,2017,10,663,1.5%,,,
CABRERO,2017,77,4,939,1.6%,,
LAJA,2017,77,4,424,1.7%,,
MULCHEN,2017,122,5,97,2.4%,,
NACIMIENTO,2017,71,5,147,1.4%,,
NEGRETE,2017,42,1,458,2.9%,,
QUILACO,2017,5,380,1.3%,,,
QUILLECO,2017,28,1,252,2.2%,,
SAN ROSENDO,2017,3,326,0.9%,,,
SANTA BARBARA,2017,64,2,518,2.5%,,
TUCAPEL,2017,33,1,999,1.7%,,
YUMBEL,2017,55,3,324,1.7%,,
ALTO BIOBIO,2017,39,1,140,3.4%,,
CHILLAN,2017,582,35,220,1.7%,,
BULNES,2017,72,3,818,1.9%,,
COBQUECURA,2017,6,580,1.0%,,,
COELEMU,2017,38,2,691,1.4%,,
COIHUECO,2017,91,3,840,2.4%,,
CHILLAN VIEJO,2017,102,3,749,2.7%,,
EL CARMEN,2017,44,2,289,1.9%,,
NINHUE,2017,12,761,1.6%,,,
�IQUEN,2017,25,1,352,1.8%,,
PEMUCO,2017,24,1,130,2.1%,,
PINTO,2017,29,1,765,1.6%,,
PORTEZUELO,2017,11,729,1.5%,,,
QUILLON,2017,36,2,201,1.6%,,
QUIRIHUE,2017,17,1,814,0.9%,,
RANQUIL,2017,13,862,1.5%,,,
SAN CARLOS,2017,153,9,85,1.7%,,
SAN FABIAN,2017,18,756,2.4%,,,
SAN IGNACIO,2017,62,2,74,3.0%,,
SAN NICOLAS,2017,68,2,523,2.7%,,
TREGUACO,2017,20,689,2.9%,,,
YUNGAY,2017,33,3,89,1.1%,,
TEMUCO,2017,1,362,53,695,0.03,2537
CARAHUE,2017,105,4,670,0.02,2248,
CUNCO,2017,49,2,812,0.02,1743,
CURARREHUE,2017,34,1,145,0.03,2969,
FREIRE,2017,94,3,518,0.03,2672,
GALVARINO,2017,61,2,240,0.03,2723,
GORBEA,2017,17,1,666,0.01,1.02,
LAUTARO,2017,121,6,421,0.02,1884,
LONCOCHE,2017,77,3,820,0.02,2016,
MELIPEUCO,2017,9,917,0.01,981,,
NUEVA IMPERIAL,2017,211,6,661,0.03,3168,
PADRE LAS CASAS,2017,230,10,334,0.02,2226,
PERQUENCO,2017,49,1,278,0.04,3834,
PITRUFQUEN,2017,89,5,635,0.02,1579,
PUCON,2017,141,4,987,0.03,2827,
SAAVEDRA,2017,56,1,964,0.03,2851,
TEODORO SCHMIDT,2017,29,1,831,0.02,1584,
TOLTEN,2017,27,1,701,0.02,1587,
VILCUN,2017,145,4,952,0.03,2928,
VILLARRICA,2017,229,11,813,0.02,1939,
CHOLCHOL,2017,69,2,400,0.03,2875,
ANGOL,2017,280,10,607,0.03,2.64,
COLLIPULLI,2017,96,4,761,0.02,2016,
CURACAUTIN,2017,95,2,948,0.03,3223,
ERCILLA,2017,26,1,212,0.02,2145,
LONQUIMAY,2017,35,1,731,0.02,2022,
LOS SAUCES,2017,28,1,135,0.02,2467,
LUMACO,2017,23,1,368,0.02,1681,
PUREN,2017,36,1,947,0.02,1849,
RENAICO,2017,60,1,560,0.04,3846,
TRAIGUEN,2017,82,3,518,0.02,2331,
VICTORIA,2017,104,6,150,0.02,1691,
PUERTO MONTT,2017,1,350,46,469,2.9%,
CALBUCO,2017,169,6,18,2.8%,,
COCHAMO,2017,8,545,1.5%,,,
FRESIA,2017,62,2,86,3.0%,,
FRUTILLAR,2017,99,3,561,2.8%,,
LOS MUERMOS,2017,105,3,330,3.2%,,
LLANQUIHUE,2017,73,2,420,3.0%,,
MAULLIN,2017,58,1,909,3.0%,,
PUERTO VARAS,2017,232,8,352,2.8%,,
CASTRO,2017,171,9,390,1.8%,,
ANCUD,2017,184,7,571,2.4%,,
CHONCHI,2017,78,2,751,2.8%,,
CURACO DE VELEZ,2017,15,612,2.5%,,,
DALCAHUE,2017,69,2,227,3.1%,,
PUQUELDON,2017,3,420,0.7%,,,
QUEILEN,2017,10,832,1.2%,,,
QUELLON,2017,104,5,398,1.9%,,
QUEMCHI,2017,24,1,199,2.0%,,
QUINCHAO,2017,38,1,924,2.0%,,
OSORNO,2017,715,29,629,2.4%,,
PUERTO OCTAY,2017,55,1,331,4.1%,,
PURRANQUE,2017,79,3,494,2.3%,,
PUYEHUE,2017,51,1,865,2.7%,,
RIO NEGRO,2017,62,2,152,2.9%,,
SAN JUAN DE LA COSTA,2017,30,1,154,2.6%,,
SAN PABLO,2017,48,1,493,3.2%,,
CHAITEN,2017,15,731,2.1%,,,
FUTALEUFU,2017,7,400,1.8%,,,
HUALAIHUE,2017,24,1,718,1.4%,,
PALENA,2017,12,283,4.2%,,,
COIHAIQUE,2017,324,11,499,2.8%,,
LAGO VERDE,2017,0,104,0.0%,,,
AISEN,2017,98,4,627,2.1%,,
CISNES,2017,27,978,2.8%,,,
GUAITECAS,2017,3,295,1.0%,,,
COCHRANE,2017,20,650,3.1%,,,
O'HIGGINS,2017,0,82,0.0%,,,
TORTEL,2017,2,68,2.9%,,,
CHILE CHICO,2017,28,858,3.3%,,,
RIO IBA�EZ,2017,5,316,1.6%,,,
PUNTA ARENAS,2017,471,21,313,2.2%,,
LAGUNA BLANCA,2017,0,32,0.0%,,,
RIO VERDE,2017,0,6,0.0%,,,
SAN GREGORIO,2017,0,37,0.0%,,,
CABO DE HORNOS,2017,5,388,1.3%,,,
ANTARTICA,2017,0,4,0.0%,,,
PORVENIR,2017,21,971,2.2%,,,
PRIMAVERA,2017,1,53,1.9%,,,
TIMAUKEL,2017,0,14,0.0%,,,
NATALES,2017,85,3,632,2.3%,,
TORRES DEL PAINE,2017,1,32,3.1%,,,
SANTIAGO,2017,2,556,73,974,3.5%,
CERRILLOS,2017,305,10,782,2.8%,,
CERRO NAVIA,2017,311,13,250,2.3%,,
CONCHALI,2017,468,16,330,2.9%,,
EL BOSQUE,2017,695,29,745,2.3%,,
ESTACION CENTRAL,2017,534,19,761,2.7%,,
HUECHURABA,2017,279,11,867,2.4%,,
INDEPENDENCIA,2017,648,16,970,3.8%,,
LA CISTERNA,2017,976,24,764,3.9%,,
LA FLORIDA,2017,1,767,66,855,2.6%,
LA GRANJA,2017,379,15,460,2.5%,,
LA PINTANA,2017,842,29,308,2.9%,,
LA REINA,2017,436,18,948,2.3%,,
LAS CONDES,2017,1,106,36,229,3.1%,
LO BARNECHEA,2017,668,18,545,3.6%,,
LO ESPEJO,2017,239,9,93,2.6%,,
LO PRADO,2017,263,9,523,2.8%,,
MACUL,2017,308,12,712,2.4%,,
MAIPU,2017,2,153,85,233,2.5%,
ÑUÑOA,2017,1,267,34,417,3.7%,
PEDRO AGUIRRE CERDA,2017,247,12,193,2.0%,,
PE�ALOLEN,2017,770,30,845,2.5%,,
PROVIDENCIA,2017,602,28,363,2.1%,,
PUDAHUEL,2017,677,27,568,2.5%,,
QUILICURA,2017,983,35,967,2.7%,,
QUINTA NORMAL,2017,681,21,515,3.2%,,
RECOLETA,2017,881,27,294,3.2%,,
RENCA,2017,586,21,115,2.8%,,
SAN JOAQUIN,2017,268,8,205,3.3%,,
SAN MIGUEL,2017,655,21,805,3.0%,,
SAN RAMON,2017,414,11,996,3.5%,,
VITACURA,2017,328,18,71,1.8%,,
PUENTE ALTO,2017,2,218,89,407,2.5%,
PIRQUE,2017,105,3,186,3.3%,,
SAN JOSE DE MAIPO,2017,74,2,335,3.2%,,
COLINA,2017,994,29,687,3.3%,,
LAMPA,2017,453,15,86,3.0%,,
TILTIL,2017,107,2,838,3.8%,,
SAN BERNARDO,2017,1,228,49,380,2.5%,
BUIN,2017,371,16,739,2.2%,,
CALERA DE TANGO,2017,106,4,314,2.5%,,
PAINE,2017,233,12,802,1.8%,,
MELIPILLA,2017,632,22,687,2.8%,,
ALHUE,2017,19,930,2.0%,,,
CURACAVI,2017,135,5,447,2.5%,,
MARIA PINTO,2017,49,1,697,2.9%,,
SAN PEDRO,2017,30,1,306,2.3%,,
TALAGANTE,2017,501,18,150,2.8%,,
EL MONTE,2017,124,4,336,2.9%,,
ISLA DE MAIPO,2017,138,5,529,2.5%,,
PADRE HURTADO,2017,292,10,516,2.8%,,
PE�AFLOR,2017,356,13,699,2.6%,,
VALDIVIA,2017,545,26,444,2.1%,,
CORRAL,2017,13,758,1.7%,,,
LANCO,2017,50,2,976,1.7%,,
LOS LAGOS,2017,69,3,228,2.1%,,
MAFIL,2017,31,1,199,2.6%,,
MARIQUINA,2017,88,4,115,2.1%,,
PAILLACO,2017,86,3,672,2.3%,,
PANGUIPULLI,2017,125,6,843,1.8%,,
LA UNION,2017,141,7,272,1.9%,,
FUTRONO,2017,73,2,967,2.5%,,
LAGO RANCO,2017,21,1,550,1.4%,,
RIO BUENO,2017,92,4,849,1.9%,,
ARICA,2017,855,40,945,2.1%,,
CAMARONES,2017,6,88,6.8%,,,
PUTRE,2017,2,239,0.8%,,,
GENERAL LAGOS,2017,4,46,8.7%,,,
